,name,description,price,links
117,Smokehead,Scotch Whisky 700mL,68.99,https://www.danmurphys.com.au/product/DM_383465/smokehead-scotch-whisky-700ml
118,Craigellachie,17 Year Old Single Malt Scotch Whisky 700mL,179.99,https://www.danmurphys.com.au/product/DM_549167/craigellachie-17-year-old-single-malt-scotch-whisky-700ml
0,The Dalmore,18 Year Old Scotch Whisky 700mL,219.99,https://www.danmurphys.com.au/product/DM_432376/the-dalmore-18-year-old-scotch-whisky-700ml
1,Old Kempton Distillery,Small Cask Matured Whisky,219.95,https://www.danmurphys.com.au/product/DM_ER_2000003067_SBW-WL/old-kempton-distillery-small-cask-matured-whisky
2,Glen Grant,The Major's Reserve Single Malt Scotch Whisky 700mL,49.95,https://www.danmurphys.com.au/product/DM_708171/glen-grant-the-major-s-reserve-single-malt-scotch-whisky-700m
3,Cotswolds,Cotswolds Odyssey Barley Single Malt Whisky 46% 700mL,119.80,https://www.danmurphys.com.au/product/DM_ER_1000006499_COTSWOLDS2014WHISKY/cotswolds-cotswolds-odyssey-barley-single-malt-whisky-46-70
4,Rampur,Indian Single Malt 43%,99.99,https://www.danmurphys.com.au/product/DM_ER_1000003298_RAM1000L/rampur-indian-single-malt-43-
5,Ailsa Bay,Single Malt Scotch Whisky 700mL,99.99,https://www.danmurphys.com.au/product/DM_820487/ailsa-bay-single-malt-scotch-whisky-700ml
6,The Macallan,10 Year Old Single Malt Scotch Whisky 700mL,199.99,https://www.danmurphys.com.au/product/DM_564132/the-macallan-10-year-old-single-malt-scotch-whisky-700ml
7,Ledaig,10 Year Old Scotch Whisky 700mL,84.95,https://www.danmurphys.com.au/product/DM_760821/ledaig-10-year-old-scotch-whisky-700ml
8,The Glenrothes,12 year old Single Malt Scotch Whisky 700mL,97.99,https://www.danmurphys.com.au/product/DM_57363/the-glenrothes-12-year-old-single-malt-scotch-whisky-700ml
9,Teeling,Single Malt Irish Whiskey 700mL,85.99,https://www.danmurphys.com.au/product/DM_839673/teeling-single-malt-irish-whiskey-700ml
10,Bunnahabhain,Stiuireadair Single Malt Scotch Whisky 700mL,84.99,https://www.danmurphys.com.au/product/DM_819607/bunnahabhain-stiuireadair-single-malt-scotch-whisky-700ml
11,Glen Moray,25YO Port Cask Finish Single Malt Scotch Whisky 700mL,379.99,https://www.danmurphys.com.au/product/DM_748785/glen-moray-25yo-port-cask-finish-single-malt-scotch-whisky-70
12,Old Pulteney,12 Year Old Scotch Whisky 700mL,79.95,https://www.danmurphys.com.au/product/DM_760917/old-pulteney-12-year-old-scotch-whisky-700ml
13,Dailuaine,34 Year Old Scotch Whisky 700mL,750.00,https://www.danmurphys.com.au/product/DM_437366/dailuaine-34-year-old-scotch-whisky-700ml
14,The BenRiach,10 Year Old Single Malt Scotch Whisky 700mL,79.95,https://www.danmurphys.com.au/product/DM_819987/the-benriach-10-year-old-single-malt-scotch-whisky-700ml
15,Bruichladdich,Islay Barley Scotch Whisky 700mL,109.99,https://www.danmurphys.com.au/product/DM_786834/bruichladdich-islay-barley-scotch-whisky-700ml
16,Laphroaig,25 Year Old Scotch Whisky 2013 Edition 700mL,700.00,https://www.danmurphys.com.au/product/DM_785392/laphroaig-25-year-old-scotch-whisky-2013-edition-700ml
17,Kilchoman,Sanaig Single Islay Malt Scotch Whisky 700mL,119.99,https://www.danmurphys.com.au/product/DM_583455/kilchoman-sanaig-single-islay-malt-scotch-whisky-700ml
18,G. Rozelieures,Single Malt French Whisky 700mL,61.99,https://www.danmurphys.com.au/product/DM_514306/g-rozelieures-single-malt-french-whisky-700ml
19,Jura,10 Year Old Single Malt Scotch Whisky 700mL,79.95,https://www.danmurphys.com.au/product/DM_822064/jura-10-year-old-single-malt-scotch-whisky-700ml
20,Ledaig,18 Year Old Scotch Whisky 700mL,174.95,https://www.danmurphys.com.au/product/DM_456989/ledaig-18-year-old-scotch-whisky-700ml
21,Mortlach,The Wee Witchie 12 Year Old Single Malt Scotch Whisky 750mL,99.99,https://www.danmurphys.com.au/product/DM_54776/mortlach-the-wee-witchie-12-year-old-single-malt-scotch-whi
22,23rd Street Distillery,Single Malt Whisky 700mL,149.95,https://www.danmurphys.com.au/product/DM_54934/23rd-street-distillery-single-malt-whisky-700ml
23,Ben Nevis,Douglas of Drumlanrig Cask Strength 18 YO Single Cask,199.00,https://www.danmurphys.com.au/product/DM_ER_2000003354_075-DODBENNEVIS18-05/ben-nevis-douglas-of-drumlanrig-cask-strength-18-yo-single-c
24,Glengoyne,15 Year Old Single Malt Scotch Whisky 700mL,117.99,https://www.danmurphys.com.au/product/DM_751144/glengoyne-15-year-old-single-malt-scotch-whisky-700ml
25,Benromach,10 Year Old Single Malt Scotch Whisky 700mL,74.88,https://www.danmurphys.com.au/product/DM_785617/benromach-10-year-old-single-malt-scotch-whisky-700ml
26,Overeem,Cask Strength Single Malt Whisky 700mL,274.99,https://www.danmurphys.com.au/product/DM_811363/overeem-cask-strength-single-malt-whisky-700ml
27,Benromach,Peat Smoke Single Malt Scotch Whisky 700mL,90.88,https://www.danmurphys.com.au/product/DM_785635/benromach-peat-smoke-single-malt-scotch-whisky-700ml
28,Glen Moray,15 Year Old Single Malt Scotch Whisky 700mL,77.99,https://www.danmurphys.com.au/product/DM_464436/glen-moray-15-year-old-single-malt-scotch-whisky-700ml
29,Balcones Distilling,Texas Single Malt Whisky,134.99,https://www.danmurphys.com.au/product/DM_ER_2000003502_BAL37006/balcones-distilling-texas-single-malt-whisky
30,Ardbeg,Drum Scotch Whisky 700mL,179.99,https://www.danmurphys.com.au/product/DM_28066/ardbeg-drum-scotch-whisky-700ml
31,The Glenlivet,Tervie 14YO Single Malt Scotch Whisky 700mL,259.99,https://www.danmurphys.com.au/product/DM_793403/the-glenlivet-tervie-14yo-single-malt-scotch-whisky-700ml
32,Nant,Tasmanian Bourbon Cask Whisky 500mL,169.99,https://www.danmurphys.com.au/product/DM_3448/nant-tasmanian-bourbon-cask-whisky-500ml
33,Bladnoch,Talia 25 Year Old Single Malt Scotch Whisky 700mL,498.95,https://www.danmurphys.com.au/product/DM_576204/bladnoch-talia-25-year-old-single-malt-scotch-whisky-700ml
34,Ardbeg,Corryvreckan Scotch Whisky 700mL,169.99,https://www.danmurphys.com.au/product/DM_752072/ardbeg-corryvreckan-scotch-whisky-700ml
35,Corra Linn Distiller,Single Malt Whisky,239.00,https://www.danmurphys.com.au/product/DM_ER_2000003373_0797776096602/corra-linn-distiller-single-malt-whisky
36,Lark,Sláinte Single Malt Whisky Liqueur 350mL,58.99,https://www.danmurphys.com.au/product/DM_830027/lark-sl-inte-single-malt-whisky-liqueur-350ml
37,Glenkinchie,12 Year Old Scotch Whisky 700mL,94.99,https://www.danmurphys.com.au/product/DM_917595/glenkinchie-12-year-old-scotch-whisky-700ml
38,The Singleton,Dufftown 12YO Single Malt Scotch Whisky 700mL,76.99,https://www.danmurphys.com.au/product/DM_448954/the-singleton-dufftown-12yo-single-malt-scotch-whisky-700ml
39,Auchentoshan,12 Year Old Single Malt Scotch Whisky 700mL,74.95,https://www.danmurphys.com.au/product/DM_364261/auchentoshan-12-year-old-single-malt-scotch-whisky-700ml
