,name,description,price,product_details,variatal,size,country,closure,target
33,aberlour,a'bunadh single malt scotch whisky 700ml,124.95,"aberlour a'bunadh is a single batch single malt that is sourced exclusively from the speyside region - a'bunadh meaning 'the origin' in gaelic. straight from the cask without chill-filtration and alcohol reduction, this whisky is heavy bodied and jam packed full of flavour. a'bunadh is not for the faint hearted as with each batch they mature it exclusively in spanish oloroso sherry butts. the nose, is simply christmas in a glass. dried dates combined with heavy spices, cloves star anise and cinnamon sticks with burnt orange in the back. the feeling of black cherries with luxury dark chocolate coat the mouth with sherry and oak laced into it. an extremely robust scotch leaves a finish full of exotic spices and wonderful oaky notes.",single malt,700.0,scotland,unknown,1
34,dalwhinnie,15 year old single highland malt scotch whisky 700ml,94.95,"dalwhinnie is the highest of all the distillers in scotland and place so to take advantage of the cleanest springwater possible. dalwhinnie has a smokey, floral aroma and a delicate palate of heather and honed malt. a serious whisky, yet approachable to the beginners.",blended,700.0,scotland,unknown,0
35,the shinobu,10 yr mizunara oak whisky,149.0,"fresh wood barrel dominates the spirit with a touch of vanilla and flowers that bring to breath of nectar, maltose, tones of fruits citrus, mizunara oak & coffee beans; medium wood intergration, then finish with a sweet aftertaste of maltose.

summary: very smooth, rounded full pallet and easy to drink.
 
tasting notes:
colour: mahogany
nose: fresh wood barrel dominates the spirit with a touch of vanilla and flowers and slight honey suckle.
palate: maltose, a little bit tones of fruits citrus, mizunara oak, coffee beans.
finish: woody & back to sweet aftertaste of maltose..",blended,700.0,10 year old,unknown,1
36,bruichladdich,port charlotte 10 year old scotch whisky 700ml,99.95,"this port charlotte 10 year old has been conceived, distilled, matured and bottled on islay alone. a young team with deep-rooted values, and an ambition to make the ultimate “islay” islay whisky. a whisky made by people not software; a whisky watched over every day of its maturing life by those who made it; a whisky born of a community with a vision and a mission to kick start a single malt whisky revolution, this port charlotte 10 year old is who we are.",single malt,700.0,scotland,cork,0
37,the balvenie,portwood 21 year old single malt scotch whisky 700ml,272.99,"classic speyside distillery, balvenie have blended some of their rarest reserve whiskies and aged them for 21 long years. in the final few months of the ageing process, the whisky is transferred to port casks, or pipes, to impart a luscious, creamy and silken character. the whisky is tasted regularly by the balvenie malt master to impart just the perfect amount of flavour to further enhance those honey and spice notes that give way to a long, gentle and nutty finish.",single malt,700.0,scotland,cork,1
38,glen moray,classic port cask single malt scotch whisky 700ml,51.99,this classic port cask scotch whisky is a new addition to the glen moray single malt family. it has the perfect combination of rich wine flavours with vanilla oak notes because it is matured from the finest american oak barrels then matured for another 8 months in port pipes. this whisky is specially selected by the master distiller due to the fact that it is well balanced and full of character.,single malt,700.0,scotland,cork,0
39,the macallan,12 year old sherry cask single malt scotch whisky 700ml,119.99,"the macallan sherry oak 12 year old is matured exclusively in hand-picked sherry seasoned oak casks from jerez, adding richness and complexity. a matured character, the 12 years old delivers rich wood spice and dried fruits and a natural rich gold colour.",single malt,700.0,scotland,cork,1
40,glenfiddich,21 year old single malt scotch whisky 700ml,269.99,"a rich and complex scotch, finished in caribbean rum casks with toffee sweetness, notes of vanilla and hints of new leather. the rum casks give the scotch just the perfect kiss of exotic spice. best enjoyed neat, with a splash of filtered water or over ice.",single malt,700.0,scotland,unknown,1
41,glenfiddich,21 year old single malt lunar new year edition 700ml,269.99,"glenfiddich is the world's most awarded single malt scotch whisky, and this pack is the perfect gift to celebrate lunar new year.

glenfiddich means 'valley of the deer' in scottish gaelic, this is symbolised by the royal stag icon that adorns each whisky. the noble stag is also an ancient symbol of long life, good fortune and prosperity in china.

the illustration adorning this limited edition gift pack depicts the epic journey taken by charles gordon, the son-in-law of the distillery founder, 110 years ago from scotland to asia.",single malt,700.0,scotland,unknown,1
42,the macallan,12 year old double cask single malt scotch whisky 700ml,104.95,"the macallan 12 year old double cask is the perfect balance of 100% sherry seasoned american and european oak, a marriage of 2 wood types. smooth, sweet and balanced. the defining style is american oak - citrus and light oak balanced by the expected macallan character of rich fruit and wood spice.",single malt,700.0,scotland,unknown,1
43,highland park,12 year old scotch whisky 700ml,79.95,the highland style of whisky is generally considered to be one of the most approachable styles. deep gold in colour with a nose of heather and wood smoke highland park has a deceptively complex palate that ranges from sweet maltiness to smokey peat and savoury spices.,blended,700.0,scotland,unknown,0
